blue,brightness,green,greenness,landcover,latitude,longitude,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
545,3252.0693,772,418.1339,4,40.94633218,-105.2066063,0.032275863,-0.13017201,0.32977968,1871,943,2431,1754,-1913.758
193,1763.2604,336,888.036,4,40.10898705,-105.3423921,0.48443222,0.27537373,0.6600102,1621,332,921,563,-508.6756
352,2394.1536,553,781.1478,4,40.08808965,-105.3700879,0.31616595,0.14392291,0.51129365,1840,595,1377,956,-886.2949
637,3791.5753,943,401.9923,4,40.91595358,-105.4391486,-0.002106249,-0.12515388,0.3023824,2132,1142,2742,2141,-2216.3777
409,2617.1448,602,663.5676,4,40.37688656,-105.3250141,0.18699187,0.047646385,0.4617541,1825,672,1659,1250,-1221.3671
138,1159.1962,231,553.6326,4,40.10743845,-105.316688,0.4655295,0.25731707,0.6682848,1031,205,609,376,-342.3014
371,2541.2101,577,742.1835,4,40.3978762,-105.2537052,0.23930481,0.07447117,0.49818182,1854,621,1597,1138,-1128.8097
-167,1291.7509,192,118.876,4,40.62557262,-105.3113187,-0.3513233,-0.3176856,0.36911282,625,288,1207,1302,-1367.5061
414,2652.0247,625,479.8909,4,40.96648924,-105.2615749,0.108957216,-0.057654075,0.3842303,1659,738,1862,1333,-1408.7015
192,1096.1461,259,-66.6083,4,40.67942047,-105.3797283,-0.3546945,-0.3191824,0.16085792,433,313,839,909,-876.6357
458,2884.8826,644,727.2368,4,40.33461057,-105.3629549,0.18831943,0.01916688,0.45973647,1994,738,1919,1362,-1405.9915
199,1828.605,423,810.159,4,39.9996765,-105.3787479,0.46539164,0.29705763,0.5954388,1609,408,872,587,-449.233
436,3063.4657,684,812.4209,4,40.72209037,-105.4623823,0.20514254,0.032814372,0.46417657,2156,789,2019,1422,-1460.3977
479,2938.9823,679,540.3406,4,40.73185466,-105.453568,0.100598805,-0.06818758,0.3950664,1838,797,2107,1502,-1615.9952
423,2956.6416,666,824.8795,4,40.16937746,-105.3909639,0.22668207,0.056979347,0.47653806,2124,753,1895,1339,-1346.8765
376,2102.0106,523,696.8485,4,39.63946367,-105.3470578,0.4019401,0.23706736,0.49326146,1662,564,1025,709,-542.8138
501,3172.4369,799,678.2099,4,40.4018218,-105.3898306,0.18843022,0.021975368,0.40458015,2116,897,2025,1445,-1424.2214
122,1111.4449,232,552.6464,4,40.32488639,-105.2604944,0.5048327,0.29494563,0.67688483,1012,195,551,333,-284.0127
6,1416.419,297,958.5201,4,40.52431994,-105.4464993,0.7191257,0.6158192,0.690489,1573,288,374,257,9.3228
587,2422.7651,802,530.1213,4,40.2577571,-105.3918249,0.4932318,0.33308157,0.34578726,1765,858,883,599,-204.5641
167,1738.6845,370,925.6193,4,39.62297417,-105.2403663,0.5788978,0.38914216,0.6423322,1676,365,737,447,-289.3533
563,3165.0367,746,631.3726,4,40.37798145,-105.3200716,0.14087632,-0.01058201,0.40170357,2057,878,2101,1549,-1563.4315
255,1823.8974,397,644.0523,4,40.59253119,-105.3359829,0.31653687,0.16309187,0.5476575,1437,420,1034,746,-683.2713
603,3210.9064,753,503.77,4,40.00309885,-105.3193686,0.055254605,-0.072160035,0.37376586,1948,888,2251,1744,-1794.6231
410,1332.1874,444,166.711,4,40.34498663,-105.4820512,0.32705882,0.22875817,0.30053803,846,455,531,429,-219.3952
312,2310.7205,586,645.9399,4,40.4194036,-105.4595963,0.28717366,0.14699933,0.45074627,1701,644,1265,942,-803.7836
113,897.3903,199,424.4863,4,40.10781586,-105.3716028,0.51606804,0.3267163,0.6587384,802,165,407,256,-189.9443
717,2585.3939,848,513.8712,4,39.64948465,-105.3404642,0.45772132,0.30676156,0.33868027,1836,907,974,683,-277.1863
164,1294.6782,265,608.9572,4,40.1239171,-105.3199332,0.4687101,0.2658228,0.65229887,1150,242,667,416,-367.1504
364,2343.8711,547,491.5967,4,40.25477784,-105.3039686,0.14554344,-0.030553788,0.4213719,1523,620,1619,1136,-1201.7995
396,2414.7555,546,461.0723,4,40.36369432,-105.306224,0.11111111,-0.06547802,0.40480593,1520,644,1733,1216,-1319.9392
294,2093.788,512,888.3362,4,40.55837481,-105.2723823,0.58208954,0.37611276,0.5217391,1855,583,841,490,-253.5977
401,2669.59,600,708.3979,4,40.52369757,-105.3055342,0.21008404,0.02603453,0.47343567,1872,669,1777,1222,-1277.338
397,2747.7167,606,575.8573,4,41.01860543,-105.2792647,0.10104103,-0.012630423,0.41519088,1798,743,1844,1468,-1460.5939
511,3382.4356,836,459.7977,4,39.46057191,-104.2187436,0.057355285,-0.09664247,0.32424343,1991,1016,2417,1775,-1862.6969
179,1363.6985,322,766.6818,4,39.65279844,-105.3156526,0.666463,0.48908296,0.67464703,1364,265,468,273,-92.5265
483,3088.4155,723,784.6116,4,40.36938824,-105.3899971,0.2102018,0.045773797,0.4519166,2159,815,1970,1409,-1401.4457
369,2487.3719,544,652.202,4,40.40729477,-105.2717723,0.1874785,0.00729501,0.47963995,1726,607,1701,1181,-1256.2227
342,2266.8589,498,660.812,4,40.32062777,-105.2294043,0.23633622,0.05161911,0.50527763,1640,539,1479,1013,-1051.2259
871,4458.2737,1205,-64.0942,5,40.60456054,-104.6211685,-0.15088013,-0.26273653,0.14982975,2026,1498,3470,2746,-2916.345
883,4220.7966,1169,57.9816,5,39.77406259,-105.2468461,-0.11092077,-0.17455268,0.19654179,2076,1394,2954,2594,-2510.1158
928,4503.0892,1250,-27.6785,5,39.86539087,-105.262256,-0.104773976,-0.22081265,0.15069237,2119,1564,3320,2615,-2688.8144
555,3016.1102,689,437.786,5,40.66451364,-105.3924208,0.018889524,-0.1064257,0.37028483,1780,818,2204,1714,-1809.0269
422,2454.8345,593,566.6778,5,40.04773629,-105.3048055,0.18416402,0.051805336,0.4359194,1675,658,1510,1154,-1092.245
745,3727.9192,958,214.8918,5,39.89320301,-105.2746437,-0.050475493,-0.16437769,0.246878,1947,1176,2713,2154,-2216.5581
595,3626.1726,843,441.3713,5,40.48901133,-105.2282067,-2.37E-04,-0.08625921,0.31135303,2108,1107,2506,2109,-2076.1873
308,1767.7706,437,345.3971,5,40.06044901,-105.3013445,0.17653114,0.008381121,0.3947529,1143,496,1124,800,-788.3127
808,3176.622,1064,19.5543,5,40.49994172,-105.294805,0.10347108,0.003607937,0.13306178,1669,1277,1657,1356,-1007.7482
