blue,brightness,green,greenness,landcover,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
362.5,1503.0136,636.5,426.6381,agriculture,0.4123995,0.12597665,0.70876634,3206.5,546.5,2489,1334,-245.1614
405,1578.7197,690.5,515.0416,agriculture,0.4346556,0.18610267,0.6876524,3806.5,704.5,2612,1500,-277.0464
418,1500.1167,717,420.9389,agriculture,0.2893004,0.027550016,0.61287004,3133,752,2965,1727,-244.2128
466,1322.3808,778.5,388.0187,agriculture,0.25638688,0.0724299,0.56499505,2754,765.5,2382,1630,-202.4351
354,3129.2555,767,1793.4095,agriculture,0.61763,0.36320558,0.8465169,4890.5,406.5,2284.5,1156,-859.1668
222,3140.8922,598,2290.05,agriculture,0.65842605,0.37301722,0.84802574,4025,331,1838,829,-825.8156
513,3149.2967,755,2289.5186,agriculture,0.014983416,-0.16660406,0.42462674,2218.5,896,3105.5,2153,-833.7934
232.5,3070.1048,486.5,1841.7159,agriculture,0.7506574,0.47648543,0.8903466,4827,280,1711.5,687.5,-853.6251
316,2926.4295,771,1799.204,agriculture,0.75932205,0.49334612,0.90022886,6228,327,2113,852,-762.3226
407,3197.7434,664,2432.558,agriculture,0.42830288,0.17541899,0.76191705,3419,462,2398.5,1368.5,-750.4158
269,2007.6392,540,1225.0388,agriculture,0.6520403,0.36743924,0.8865276,4838,291,2238,1019,-396.8468
313,3162.2291,585,1948.4418,agriculture,0.595576,0.32123727,0.8131373,3823,394,1964,969,-927.0522
483,2911.5441,830,1795.5629,agriculture,0.5266589,0.27232206,0.79591036,4567,519,2612,1416,-753.4529
365.5,2731.237098,701.5,1883.401633,agriculture,0.4857839,0.17168482,0.74190474,3658,542,2586,1266,-669.1913882
416.5,2921.4596,865.5,1816.8935,agriculture,0.6288262,0.36286637,0.84108245,5068.5,437.5,2369.5,1155,-757.0561
289,3239.3132,601,1903.8177,agriculture,0.58606386,0.30112284,0.7894244,3824,450,2054,998,-998.7
263,2812.443,776,1723.4029,agriculture,0.74649125,0.473905,0.89108753,5973,344,2132,867,-699.0138
452,2925.7711,833,1814.6034,agriculture,0.58697766,0.32530773,0.82102036,4899,481.5,2494,1275,-761.166
432,3238.1407,825,1904.7533,agriculture,0.4973243,0.2517149,0.7483857,4197,604,2509,1409,-999.2438
235.5,3062.4525,687.5,1777.19,agriculture,0.76670134,0.5278489,0.8865442,5520.5,332,1706,729,-833.5326
339,1505.877,670,427.1457,agriculture,0.4940077,0.20732108,0.74041647,3677.5,548.5,2414.5,1245.5,-245.5903
312,2908.4408,727,1829.1439,agriculture,0.7473334,0.5084908,0.89826936,6307,338,2055,912,-746.1357
228.5,2790.1256,495,1761.6189,agriculture,0.73285824,0.46829864,0.8702838,4498.5,312,1629,693.5,-677.7161
233,3241.0012,646,1873.6266,agriculture,0.6694301,0.37810093,0.8849454,4833,295,2181,957,-953.1633
399,3154.1899,708,1942.6541,agriculture,0.6046708,0.31238756,0.8290895,4741,443,2484,1168,-919.7966
387,3096.4035,995,1822.1087,agriculture,0.5862069,0.3083345,0.7224292,4623,745,2444,1206,-863.6406
284.5,2814.7469,569.5,1688.3821,agriculture,0.68676704,0.42103624,0.85535806,4566.5,356,1860.5,848,-702.683
369,1507.5053,749,551.1401,agriculture,0.41264737,0.15756191,0.6940874,3295,595,2398,1370,-271.6814
341.5,3136.9052,551,2295.0119,agriculture,0.34457648,0.03992095,0.6927779,2631,477.5,2429,1282.5,-817.9639
799,3360.2174,1162,1891.1906,agriculture,0.118008405,-0.020535335,0.46246564,3458,1271,3603,2728,-809.4062
273,3047.7796,753.5,1908.5476,agriculture,0.7546374,0.48731387,0.89440143,6243,348,2152,873,-835.5372
215,2742.9774,593,2004.2572,agriculture,0.6416828,0.31895882,0.8292026,3395,317,1753,741,-660.4165
275.5,3105.663,804,1800.2852,agriculture,0.6905931,0.43836614,0.87582153,5423,359,2117.5,992.5,-858.1764
455,2963.1996,943,1830.2044,agriculture,0.49042928,0.21995741,0.7453754,4010,585,2564,1371,-784.2815
502,3249.9091,910,1908.1691,agriculture,0.34835106,0.15160844,0.6483807,3741,798,2756,1808,-1019.3872
279.5,3100.7963,849.5,1798.3346,agriculture,0.67945856,0.4217448,0.8695317,5459.5,381,2220.5,1042,-856.0942
345,1022.038,683,56.8612,agriculture,0.5044283,0.20218755,0.7308939,3737,581,2480,1231,-87.4841
277,1562.9851,485.5,705.2437,agriculture,0.40232107,0.10743381,0.6292135,2175,495,1753,927,-270.8665
279.5,2864.7693,725.5,1793.8111,agriculture,0.7262987,0.45991212,0.8723479,5317,362.5,1967,843,-721.8922
487,3322.3967,790,1885.6155,agriculture,0.16927773,-0.08136189,0.47434583,2873.5,1024.5,3382.5,2041.5,-1060.7539
207,3418.7705,483,1941.4915,agriculture,0.77085274,0.52303,0.9040931,4745,239,1486,614,-1013.7563
484.5,1858.6172,790,801.7862,agriculture,0.19502327,-0.041382667,0.5485647,2953.5,861,3208.5,1989.5,-314.4272
338,2821.7747,690,1995.7484,agriculture,0.43397057,0.1193825,0.710616,3263,552,2567,1288,-737.3701
327.5,2378.3989,658.5,1605.074,agriculture,0.63002354,0.3293047,0.84525806,4674.5,392,2358.5,1061,-535.1832
311,1988.569,648,1204.4665,agriculture,0.53478396,0.23370011,0.7769367,3756,471.5,2333,1138.5,-389.4278
358,3187.4502,827.5,1840.5694,agriculture,0.6108412,0.33239338,0.84444225,4725,398.5,2367.5,1141.5,-905.6169
443,2852.2016,884,1766.7299,agriculture,0.5748032,0.30664444,0.8146718,4700,480,2494,1269,-717.9444
497.5,1390.6523,825.5,336.6439,agriculture,0.29759338,0.05884077,0.6217733,3612.5,842.5,3211,1955.5,-209.651
457,2955.8734,702,1837.7971,agriculture,0.4653706,0.32756722,0.76058394,4221,574,2138,1540,-777.3873
327,3157.903,727,1942.0936,agriculture,0.5630537,0.2820037,0.7653822,4146,551,2322,1159,-924.2909
432.5,3209.3362,763,2276.1047,agriculture,0.29783356,0.00541134,0.6041041,3205,791,3170.5,1734,-895.9483
428,3310.047,694,2294.2426,agriculture,0.23957196,-0.002810963,0.6106697,2838,686,2854,1741,-905.8602
683,2229.1984,812.5,1538.6253,agriculture,-0.28199244,-0.29198733,0.24770643,1564,943,2854,2792.5,-561.8936
390,2890.3799,871,1754.2005,agriculture,0.57347673,0.30752048,0.7723052,4390,564,2325,1190,-742.3066
250,2849.5333,532,1714.9741,agriculture,0.6898685,0.43773648,0.85838825,4370,333,1709,802,-721.1688
289,2006.5224,573,1224.3896,agriculture,0.66704017,0.3846563,0.8876201,5207,310,2314,1040,-395.7147
404,2812.083,776,1788.239,agriculture,0.57715136,0.3105255,0.8082075,4252,451,2237,1140,-687.6854
510.5,2869.1503,839,1758.1442,agriculture,0.45885634,0.23640662,0.7519104,4184,592.5,2584,1552,-730.0084
